DATE,USHVAC
1990-01-01,1.7
1991-01-01,1.7
1992-01-01,1.5
1993-01-01,1.4
1994-01-01,1.5
1995-01-01,1.5
1996-01-01,1.6
1997-01-01,1.6
1998-01-01,1.7
1999-01-01,1.7
2000-01-01,1.6
2001-01-01,1.8
2002-01-01,1.7
2003-01-01,1.8
2004-01-01,1.7
2005-01-01,1.9
2006-01-01,2.4
2007-01-01,2.7
2008-01-01,2.8
2009-01-01,2.6
2010-01-01,2.6
2011-01-01,2.5
2012-01-01,2.0
2013-01-01,2.0
2014-01-01,1.9
2015-01-01,1.8
2016-01-01,1.7
2017-01-01,1.6
2018-01-01,1.5
2019-01-01,1.4
2020-01-01,1.0
