average_sales_price
149500.0
151200.0
145500.0
150100.0
151100.0
148200.0
145400.0
144400.0
144500.0
145300.0
141700.0
147200.0
144700.0
148900.0
148000.0
148300.0
153600.0
154200.0
152800.0
156100.0
153500.0
158900.0
157700.0
160900.0
161100.0
166000.0
164000.0
171000.0
172200.0
177200.0
174700.0
175400.0
180000.0
178800.0
184300.0
181500.0
189100.0
191800.0
193000.0
204800.0
202900.0
202400.0
204100.0
212100.0
211000.0
211200.0
207800.0
214200.0
227600.0
227600.0
219100.0
232500.0
233100.0
241000.0
248100.0
256000.0
262900.0
265300.0
274000.0
286300.0
288500.0
287800.0
294600.0
294200.0
305300.0
302600.0
308100.0
299600.0
322100.0
310100.0
301200.0
305800.0
290400.0
304200.0
285100.0
276600.0
257000.0
273400.0
274100.0
272900.0
275300.0
268800.0
266000.0
278000.0
268100.0
267600.0
263000.0
259700.0
278000.0
282700.0
294500.0
297700.0
307400.0
320400.0
324400.0
334400.0
331400.0
340600.0
340400.0
369400.0
348000.0
339700.0
347400.0
366700.0
357000.0
357900.0
358800.0
364900.0
374800.0
376900.0
373200.0
399700.0
374600.0
378400.0
392900.0
384000.0
375500.0
376700.0
382700.0
384600.0
383000.0
374500.0
397800.0
403900.0
418600.0
434200.0
